produto_pesquisado;titulo_produto;id_vendedor;preco;quantidade;descricao;homologado;plataforma;url
power bank;Kit Music Play Headphone + Power Bank + Leitor Usb + Cartão Micro Sd 32 Gb Mc250<!-- --> ;Obabox;157,60;1;Kit Music Play Headphone + Power Bank + Leitor Usb + Cartão Micro Sd 32 Gb Mc250        Descrição Um Kit Completo Para Você Ouvir Suas Músicas, Possui Um Headphone Dobrável Deixando Bem Mais Fácil De Levar Para Qualquer Lugar E Com Autonomia De 6 Horas, Assim Você Consegue Curtir Suas Músicas Sem Preocupação.      Características Técnicas:  - Marca: Multilaser  - Modelo: Mc250    Ficha Técnica:  Cartão Micro Sd 32 Gb:  - A Prova De Água  - Para Vídeos Em Full Hd;CANDIDATO;Carrefour;https://www.carrefour.com.br/kit-music-play-headphone-power-bank-leitor-usb-cartao-micro-sd-32-gb-mc250-mp931642017/p
power bank;Carregador Wireless Qi Sem Fio Com Ventilador 3 Em 1 Portátil Usb Carregador Celular Power Bank Recarregável Azul<!-- --> ;Faca e Resolva;99,90;1;Mini Ventilador 3 Em 1 Vem Com Uma Base De Carregamento, Que Pode Ser Utilizada Como Um Suporte De Telefone E Fornece Carregamento Sem Fio Para Telefones Celulares, Muito Conveniente Para Trabalhar, Aprender Ou Viajar. Possui Três Níveis De Velocidade Do Vento, E Basta Pressionar O Botão Para Ligar O Ventilador Usb, Para Ajustar A Velocidade Do Vento, Muito Fácil De Operar. Baixo Nível De Ruído, Proporciona Um Ambiente Silencioso Para Dormir Enquanto Faz Você Se Ref;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-wireless-qi-sem-fio-com-ventilador-3-em-1-portatil-usb-carregador-celular-power-bank-reca-mp924284932/p
power bank;Power Bank Bateria Extra Portátil 10.000mah Pn-951 Branca<!-- --> ;webcontinentalmarketplace;109,15;1;Power Bank Bateria Extra Portátil 10.000mah Pineng Pn-951 - Branca O Carregador Portátil Power Bank Pineng Pn-951 Possui 10.000 Mah Reais Com Indicador De Carga, Perfeito Para Horas Difíceis Em Que A Carga Do Seu Aparelho Está Baixa.Carregue Celulares, Smartphones E Outros Aparelhos Que Possui Entrada Usb. Com Ao Power Bank Pineng Pn-951 E Possível Carregar De 3 A 4 Vezes O Seu Smartphone, Ou De 1 A 2 Vezes O Seu Tablet (O Total De Recargas Completas Vai Depender Do;CANDIDATO;Carrefour;https://www.carrefour.com.br/power-bank-bateria-extra-portatil-10-000mah-pn-951-branca-mp909045189/p
power bank;Mini Power Bank Portátil 5000Mah Com 2 Entradas Usb Inova<!-- --> ;olist;81,66;1;Cabe Facilmente Em Seu Bolso Para Fornecer Energia Instantânea E Móvel, Aparelho Poderoso Com Tempo De Funcionamento Longo Para Tempo De Voo, Viagem, Ou Sempre Que Você Precisa Para Carregar Seus Dispositivos Móveis Onde Quer Que Esteja. Possui Baixo Custo De Energia E Uma Bateria De Longa Duração... ..Especificações Técnicas... ..Capacidade: 3.7V 5000Mah 18 Wh.. ..Saídas: 5V/ 1A.. ..Entrada: Dc5V 2A.. ..Led Indicador De Uso marca:Inova;CANDIDATO;Carrefour;https://www.carrefour.com.br/mini-power-bank-portatil-5000mah-com-2-entradas-usb-inova-mp911637821/p
power bank;Eremita De Viagem Dura Para Anker Powercore 10000 Pd Redux/anker Powercore 10000 Redux Ultra-small Power Bank 10000mah Carregador Portátil<!-- --> ;;192,00;1;Eremita De Viagem Dura Para Anker Powercore 10000 Pd Redux / Anker Powercore 10000 Redux Ultra-small Power Bank 10000mah Carregador Portátil;CANDIDATO;Carrefour;https://www.carrefour.com.br/eremita-de-viagem-dura-para-anker-powercore-10000-pd-reduxanker-powercore-10000-redux-ultrasmall-pow-mp922834678/p
power bank;Carregador Power Bank Portátil Kaidi 5000 Bom E Pratico<!-- --> ;webcontinentalmarketplace;94,99;1;Carregador Power Bank Portátil Kaidi 5000 Bom E Praticopower Bank Kaidi 5.000 Mah Slim Kd-952 Original Preto Com Adaptador Tipo C E Ioso Presente Produto É Uma Fonte De Alimentação Móvel De Fio Mini-auto-alimentado, E A Sua Principal Utilização É Carregar Produtos Digitais De Comunicação Móvel, Configurado Com Uma Porta De Entrada De Carregamento Fêmea Micro Usb Para Carregar A Bateria De Lítio Recarregável Embutida,o Produto Possui Saída Dupla, 1 Porta De Saída De;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-power-bank-portatil-kaidi-5000-bom-e-pratico-mp928568950/p
power bank;Bateria Power Bank Pineng 10000Mah<!-- --> ;SmartplaceMauas;149,00;1;Bateria Extra Power Bank Pineng Slim 10000mah Usb temos na cor preta. .Carrega celulares, smartphones de todas as marcas e outros aparelhos que tem entrada Micro USB, Ligthing da Apple e USB..Modelo: Carregador Portátil PN-951..Bateria diferenciada pela alta eficiência que tem perante as outras..Modelo DIGITAL mais moderno e eficiente do Mercado...Características:.Capacidade: 10.000mah..Medidor de carga de led digital..Tempo de carregamento da bateria interna:;CANDIDATO;Carrefour;https://www.carrefour.com.br/bateria-power-bank-pineng-10000mah-mv28268169/p
power bank;Carregador Power Bank Portátil Kaidi 5000 Mah Promoção<!-- --> ;;94,99;1;Carregador Power Bank Portátil Kaidi 5000 Mah Promoçãopower Bank Kaidi 5.000 Mah Slim Kd-952 Original Preto Com Adaptador Tipo C E Ioso Presente Produto É Uma Fonte De Alimentação Móvel De Fio Mini-auto-alimentado, E A Sua Principal Utilização É Carregar Produtos Digitais De Comunicação Móvel, Configurado Com Uma Porta De Entrada De Carregamento Fêmea Micro Usb Para Carregar A Bateria De Lítio Recarregável Embutida,o Produto Possui Saída Dupla, 1 Porta De Saída De D;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-power-bank-portatil-kaidi-5000-mah-promocao-mp928568733/p
power bank;"Solar + Hand Crank Am Fm Radio Emergency Noaa Weather Radio + Usb 2000mah Power Bank Phone Charger &amp;amp; Led Flashlight W/sos Bonus Survival Par<!-- --> ";nocnoceua;379,00;1;Queda De Energia *terremoto *furacão *tornado *sobrevivência Ao Ar Livre Com A Marca De Cultura Da Bússola Manivela Solar Am/ Fm/ Noaa Rádio De Emergência Tenha Certeza De Que Você E Sua Família Terão Luz, Energia De Emergência Para Carregar Esse Celular E Receber As Informações Valiosas Que Você Precisa Através Das Estações Noaa Weather Alerts & Am/ Fm. Tudo-em-um Cabe Na Palma Da Sua Mão. Não Fique Em Pânico Procurando Uma Lanterna Ou O Carregador De Telefone.;CANDIDATO;Carrefour;https://www.carrefour.com.br/solar-hand-crank-am-fm-radio-emergency-noaa-weather-radio-usb-2000mah-power-bank-phone-charger-amp-mp926070046/p
power bank;Carregador Portátil Energia Solar Power Bank New<!-- --> ;olist;103,40;1;"Carregador Portátil Energia Solar Power Bank New 
 Carregador Portátil Energia Solar Power Bank Cores Sortidas
 
 O Carregador Solar É Um Painel Mono Cristalino Que Pode Fornecer Até 1.2 Watts De Potência Elétrica, Permitindo A Você Operar E Carregar Baterias De Pequenos Equipamentos Eletrônicos Como Celulares, Smartphones, Gps, Rádios Portáteis, Tablets, Câmeras Digitais, Entre Outros. Possui Um Led Que Mostra A Sua Operação E Quando Está Carregando O Seu Aparelho.";CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-portatil-energia-solar-power-bank-new-mp929643609/p
power bank;2-pack Miady 10000mah Carregador Portátil Dual Usb, Power Bank De Carregamento Rápido Com Entrada Usb C, Carregador De Backup Para Iphone X, Galaxy S<!-- --> ;nocnoceua;284,00;1;2-pack Miady 10000mah Carregador Portátil Dual Usb, Power Bank De Carregamento Rápido Com Entrada Usb C, Carregador De Backup Para Iphone X, Galaxy S9, Pixel 3 E Etc ...;CANDIDATO;Carrefour;https://www.carrefour.com.br/2pack-miady-10000mah-carregador-portatil-dual-usb-power-bank-de-carregamento-rapido-com-entrada-usb-mp922858490/p
power bank;Power Bank Xiaomi 3250mah Com Lanterna Alta Luminosidade - Lpb01zm<!-- --> ;Celltronics Used;125,10;1;O Power Bank Lanterna Xiaomi Flashlight Apresenta Um Design Minimalista, Porém, Com Recursos Poderosos.possui 11 Níveis Ajustáveis De Intensidade De Luz E Vem Com Suporte Para Fixação Em Cinto. Seu Formato Cilíndrico Permite Que A Lanterna Power Bank Flashligt Xiaomi Se Adeque De Forma Perfeita Em Sua Mão.conta Ainda Com Função Sos (pressionando O Botão Traseiro Por Três Veses Consecutivas, Você Ativa A Lanterna De Forma Que Ela Emita Sinais Luminosos De Pedido De S;CANDIDATO;Carrefour;https://www.carrefour.com.br/powerbankxiaomi3250mahcomlanternaaltaluminosidadelpb01zm-mp923605576/p
power bank;Mini Carregador Portátil Universal Power Bank Type-c Branco<!-- --> ;olist;76,78;1;"Não Fique Sem Bateria Quando Mais Precisar, Tenha Seu Carregador Chaveiro Portatil Para Cargas Emergenciais.

o Carregador De Carga Temporária É Equipada Com Uma Capacidade Da Bateria De 1500 Mah, O Que Pode Resolver O Problema Da Escassez De Energia Temporária De Equipamentos Eletrônicos E Deixar Você Sem Preocupação Em Ficar Sem Energia Em Um Momento Critico, Por Essa Razão Carregador Portátil Para Emergências Com Design De Chaveiro Leve Seu Carregador Em Qualquer";CANDIDATO;Carrefour;https://www.carrefour.com.br/mini-carregador-portatil-universal-power-bank-typec-branco-mp932698659/p
power bank;Power Bank Carregador Multilaser Cb143 Concept 10000mAh Polímero<!-- --> ;Memoria Distribuidora;190,53;1;Power Bank 10000MAH, carga extra para você, onde quiser. Tenha sempre com você uma carga extra para seus dispositivos, mantendo-se conectado e sempre em movimento. Desenvolvido com carregamento rápido, 2 vezes a carga máxima do seu smartphone. Feito para ser durável e compacto, possui acabamento resistente e cabe no seu bolso, devido a sua tecnologia de polímero, te proporcionando garantia de leveza e segurança._x005F_x005F_x005F_x005F_x005F_x005F_x005F_x000D_._x005;CANDIDATO;Carrefour;https://www.carrefour.com.br/power-bank-carregador-multilaser-cb143-concept-10000mah-polimero-mp909019424/p
power bank;Carregador Power Bank Kaidi 5000 Mah Bom E<!-- --> ;webcontinentalmarketplace;94,99;1;Carregador Power Bank Kaidi 5000 Mah Bom E Baratopower Bank Kaidi 5.000 Mah Slim Kd-952 Original Preto Com Adaptador Tipo C E Ioso Presente Produto É Uma Fonte De Alimentação Móvel De Fio Mini-auto-alimentado, E A Sua Principal Utilização É Carregar Produtos Digitais De Comunicação Móvel, Configurado Com Uma Porta De Entrada De Carregamento Fêmea Micro Usb Para Carregar A Bateria De Lítio Recarregável Embutida,o Produto Possui Saída Dupla, 1 Porta De Saída De Descar;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-power-bank-kaidi-5000-mah-bom-e-mp928568910/p
power bank;Power Bank Pulse 10000 Mah Com Display Lcd - Cb147<!-- --> ;;185,55;1;"Power Bank Pulse 10000 Mah Com Display Lcd - Cb147 Power Bank 10000 Mah Com Display Lcd Pulse
power Bank Display Digital 10.000 Mah: Com Bateria De Polímero Até 3 Cargas: Para Seu Smartphone 2 Portas Usb: Com Carregamento Super Rápido.
imagens Meramente Ilustrativas


especificações Técnicas:
- Bateria Recarregável: Sim
- Tipo De Tela: Lcd
- Cor: Preto
- Power Bank: 10000mah
- Garantia: 03 Meses Contra Defeitos De Fabricação
- Marca: Pulse
- Ref.: Cb147";CANDIDATO;Carrefour;https://www.carrefour.com.br/power-bank-pulse-10000-mah-com-display-lcd-cb147-mp924128698/p
power bank;Carregador Portátil Redmi Power Bank 10000mah Preto Xiaomi<!-- --> ;webcontinentalmarketplace;197,47;1;Carregador Portátil Redmi Power Bank 10000mah Preto Xiaomipara Quem Busca Um Power Bank Que Dê Suporte Para Os Seus Dispositivos Eletrônicos E Garanta A Segurança, Compatibilidade E Qualidade Do Carregamento Aonde Estiver, A Tecnologia Redmi Oferece Toda A Potência E Versatilidade. O Power Bank Redmi 10000mah Possui Bateria De Polímero De Lítio De Alta Densidade E Durabilidade, Com Capacidade Extra Para Carregar Seu Laptop, Tablet, Smartphone E Outros Dispositivos.;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-portatil-redmi-power-bank-10000mah-preto-xiaomi-mp931311084/p
power bank;Carregador Portatil Usb Power Bank Mcdodo Mc7320 10.000mah   Preto<!-- --> ;Duas Cabecas;469,50;1;Carregador Portatil Usb Power Bank Mcdodo Mc7320 10.000mah - Pretocapacidade Da Bateria:10000 - 19999 Mah;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-portatil-usb-power-bank-mcdodo-mc7320-10000mah--preto-mp932667268/p
power bank;Mgznmty Portátil Hard Travel Case Para Anker Powercore Essential 20000mah / Anker Powercore Essential 20000 Pd Power Bank Pacote De Bateria Externa C<!-- --> ;nocnoceua;191,00;1;Mgznmty Portátil Hard Travel Case Para Anker Powercore Essential 20000mah / Anker Powercore Essential 20000 Pd Power Bank Pacote De Bateria Externa Carregador Externo E Carregador De Parede (somente Caixa)(vermelho);CANDIDATO;Carrefour;https://www.carrefour.com.br/mgznmty-portatil-hard-travel-case-para-anker-powercore-essential-20000mah-anker-powercore-essential-mp922900400/p
power bank;Power Bank Portátil Com Visor De Led<!-- --> ;Santana Inform�tica;74,75;1;Capacidade: 3.7v/10000mah 37wh Entrada: Dc 5v / 1a 3 Saídas Usb Indica A Porcentagem De Carga No Display De Led Mini Lampada Led Branca Com Circuito Inteligente Para Proteção De Sobrecarga, Curto-circuito E Sobretensão Conteúdo Da Embalagem 1 Powerbank Pow-8317 1 Cabo Usb 1 Manual Do Usuário   Agilidade Produto A Pronta Entrega. Em Compras Feitas Antes De 13:00hs, Envio No Mesmo Dia E Se A Compra For À Tarde, Não Se Preocupe, Pois Em Menos De 24 Horas Seu Produ;CANDIDATO;Carrefour;https://www.carrefour.com.br/power-bank-portatil-com-visor-de-led-mp924265034/p
power bank;Carregador Portátil Power Bank Inova 5000mah - Branco<!-- --> ;olist;50,61;1;"Carregador Portatil Power Bank Inova Pow-1013 5000mah, É Um Excelente Produto Quando Seu Dispositivo Te Deixa Na Mão. Perfeito Para Realizar Aquela Carga Exta Que Auxiliar Voce Em Qualquer Momento E Qualquer Hora
possui Um Design Slim , Compacto Que Cabe No Bolso, Tem A Capacidade De Ate 2 Cargas Para Alguns Dispositivos, Com Saida Usb Universal.
expecificações:
- Dimensões: 9,5x4,2,5mm
- Peso: 118g
- Capacidade: 5000mah
- Saida Usb: 5v 2,1a

contem:
- Carregador Po";CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-portatil-power-bank-inova-5000mah-branco-mp924183109/p
power bank;Power Bank 10.000mah<!-- --> ;Escritex;99,99;1;"A Escritex Nasceu Para Lhe Entregar Os Melhores Produtos Do Mercado Nacional, Itens Que Você Possa Utilizar Em Seu Dia-a-dia, Prezamos Acima De Tudo O Cuidado Com O Próximo, Por Isso Trabalhamos Com Itens Selecionados Para Satisfação Total De Nossos Clientes
 * Estamos Localizados No Estado De São Paulo, Portanto Temos O Melhor Frete Do Mercado.
  
 Carregador Portátil
  
 Atualmente O Carregador Portátil Se Tornou Essencial Em Nosso Dia A Dia, Sempre Nos";CANDIDATO;Carrefour;https://www.carrefour.com.br/power-bank-10000mah-mp926910760/p
power bank;Talkworks Portátil Charger Power Bank Usb Battery Pack 6000 Mah - Fonte De Backup De Celular Externo Para Apple Iphone 12, 11, Xr, Xs, X, X, 8, 7, 6,<!-- --> ;;223,00;1;Os Bancos De Energia Portátil Do Carregador Talkworks São Pequenos E Compactos, Mas Carregados Com Energia Para Manter Seus Dispositivos Ligados Em Movimento. Com Opções De Energia De 4000mah, 6000mah, 8000 Mah, 10000 Mah E 16500 Mah Temos Certeza Que Podemos Dar-lhe Os Tão Necessários Impulsos De Energia Que Seus Dispositivos Precisarão Durante O Movimento Para Que Você Possa Continuar Falando, Enviando Mensagens, Navegando Ou Jogando! Powerbanks Possuem Um Indicad;CANDIDATO;Carrefour;https://www.carrefour.com.br/talkworks-portatil-charger-power-bank-usb-battery-pack-6000-mah-fonte-de-backup-de-celular-externo-mp922857699/p
power bank;Carregador Portátil Xiaomi Mi 10.000mah Power Bank Ultra Rapido<!-- --> ;flashcompany;189,89;1;Carregador Portátil Xiaomi Mi 10.000mah Power Bank Ultra Rapidoquando Viajamos, Os Dispositivos Eletrônicos, Como Smartphones E Câmeras, Estão Em Nossa Lista Das Coisas Essenciais Para Levarmos. Mas Há Um Problema: A Autonomia De Bateria. A Powerbank Xiaomi Mi De 10000 Mah É A Sua Solução. Carregue Até 3 Vezes Os Seus Dispositivos Com Esta Powerbank Que O Irá Deixar Ligado Ao Mundo Durante Mais Tempo.grande Capacidade De 10000 Mahmantenha Smartphones, Tablets, Câmar;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-portatil-xiaomi-mi-10000mah-power-bank-ultra-rapido-mp932618792/p
power bank;Carregador Power Bank 5.000 Mah Slim Pn-952 Celular<!-- --> ;webcontinentalmarketplace;94,99;1;Carregador Power Bank 5.000 Mah Slim Pn-952 Original Celularcarregue Seu Celular, Tablet, Ou Qualquer Aparelho Que Possua Entrada Usb. Com O Pineng 5.000 Mah, É Possível Serem Realizadas De Aproximadamente 2 Cargas Em Seu Celular.power Bank Pineng 5.000 Mah Slim Pn-952atualmente O Carregador Portátil Se Tornou Essencial Em Nosso Dia A Dia, Sempre Nos Ajudando Nas Horas Difíceis Em Que A Bateria De Seu Celular Ou Tablet Acaba.seu Design Elegante E Ultra Fino Garante;CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-power-bank-5000-mah-slim-pn952-celular-mp929530311/p
power bank;Carregador Portátil (Power Bank) Ultra Rápido 20000mAh Power Delivery 20W 2 Saídas USB + 1 Saída/Entrada USB-C Preto - I2GO PRO<!-- --> ;Carrefour;249,90;1;"""Bateria: Polímero de lítio, O Carregador Portátil (Power Bank) Ultra Rápido 20000mAh Power Delivery 20W possui 2 Saídas USB Padrão + 1 Entrada/Saída USB-C. Chegue até 8 cargas completas no seu smartphone* e leve sua bateria para te acompanhar no trabalho, em shows, viagens e onde mais você precisar com muito estilo e qualidade.  - Power Delivery de até 20W (Carrega 50% da sua bateria em 30 minutos - Dispositivos compatíveis com Power Delivery utilizando cabos USB-C";CANDIDATO;Carrefour;https://www.carrefour.com.br/carregador-portatil--power-bank--ultra-rapido-20000mah-power-delivery-20w-2-saidas-usb---1-saida-entrada-usb-c-preto-i2go-pro-6410995/p
